,human_baseline_summaries,original_model_summaries,instruct_model_summaries,peft_ia3_model_summaries,peft_lora_model_summaries
316,"Frank and Mary both like watching movies in their spare time. Mary usually rents movies at Movie Salon, and Frank is interested in signing up for its membership.",I'm always going to the cinema.,"Mary: Hi, Frank.","Mary spends a lot of time watching movies. Frank likes art films, thrillers, and thrillers. Mary also likes art films, thrillers, and movies. Mary also likes movies at Movie Salon. Mary will sign up for its membership.",Mary and Frank talk about their hobbies in their spare time. Mary likes art films and thrillers and often rents movies at Movie Salon.
317,Mary and Frank both like watching movies in their spare time. Mary usually rents movies at Movie Salon and Frank also wants to get a membership to rent movies,I'm a very good movie-watcher.,"Mary: Hi, Frank.","Mary spends a lot of time watching movies. Frank likes art films, thrillers, and thrillers. Mary also likes art films, thrillers, and movies. Mary also likes movies at Movie Salon. Mary will sign up for its membership.",Mary and Frank talk about their hobbies in their spare time. Mary likes art films and thrillers and often rents movies at Movie Salon.
318,#Person2# wanted to join a small political party and thinks the smaller group can influence the larger one. #Person1# and #Person2# agree that most people don't fully understand politics.,The Green Party is a popular and popular political party.,Talk to the person who is interested in joining the green party.,#Person2# thinks #Person2# is concerned about the environment and the green party. #Person2# thinks the green party has no chance of winning an election. #Person2# thinks the other parties are too big and popular. #Person2# thinks the media often reports on political events.,#Person2# thinks joining the green party is a good idea because #Person2# is concerned about the environment. #Person1# thinks the green party has no chance of winning an election and smaller political and pressure groups can influence large political parties.
319,#Person2# believes smaller political and pressure groups can influence large parties. #Person1# and #Person2# both agree that most people often don't understand politics fully.,#Person1#: I'm very concerned about the environment.,Talk to the person who is interested in joining the green party.,#Person2# thinks #Person2# is concerned about the environment and the green party. #Person2# thinks the green party has no chance of winning an election. #Person2# thinks the other parties are too big and popular. #Person2# thinks the media often reports on political events.,#Person2# thinks joining the green party is a good idea because #Person2# is concerned about the environment. #Person1# thinks the green party has no chance of winning an election and smaller political and pressure groups can influence large political parties.
320,#Person2# thought about joining a small party and thinks smaller political and pressure groups can influence larger ones. #Person1# and #Person2# agree most people don't understand political issues fully.,I'm not sure what the green party is about.,Talk to the person who is interested in joining the green party.,#Person2# thinks #Person2# is concerned about the environment and the green party. #Person2# thinks the green party has no chance of winning an election. #Person2# thinks the other parties are too big and popular. #Person2# thinks the media often reports on political events.,#Person2# thinks joining the green party is a good idea because #Person2# is concerned about the environment. #Person1# thinks the green party has no chance of winning an election and smaller political and pressure groups can influence large political parties.
321,"#Person1# apologizes for mistakes in goods. #Person1# will be responsible for Mr. Wilson's loss, and take measures to avoid such mistakes.",The following statements are a summary of the statements made by the President of the United States.,The following are the things that the company has done to correct the mistakes in the goods.,Mr. Wilson apologizes to Mr. Wilson for the mistakes in goods. Mr. Wilson tells him that the first problem is our fault and will exchange all merchandise that falls short of our sample. Mr. Wilson assures Mr. Wilson that such things will never happen again in future delivery.,Mr. Wilson apologizes to #Person1# for the mistakes in goods. #Person1# will exchange all merchandise that falls short of their sample. Mr. Wilson promises that such things will never happen again in future delivery.
322,#Person1# feels sorry for Mr. Wilson's loss caused by #Person1# and assures that such mistakes will not happen again.,The company has a new shipment.,The following are the things that the company has done to correct the mistakes in the goods.,Mr. Wilson apologizes to Mr. Wilson for the mistakes in goods. Mr. Wilson tells him that the first problem is our fault and will exchange all merchandise that falls short of our sample. Mr. Wilson assures Mr. Wilson that such things will never happen again in future delivery.,Mr. Wilson apologizes to #Person1# for the mistakes in goods. #Person1# will exchange all merchandise that falls short of their sample. Mr. Wilson promises that such things will never happen again in future delivery.
323,#Person1# apologizes for the loss caused by them to Mr. Wilson and assures that it will never happen again.,Mr. Wilson.                                                                                                  ,The following are the things that the company has done to correct the mistakes in the goods.,Mr. Wilson apologizes to Mr. Wilson for the mistakes in goods. Mr. Wilson tells him that the first problem is our fault and will exchange all merchandise that falls short of our sample. Mr. Wilson assures Mr. Wilson that such things will never happen again in future delivery.,Mr. Wilson apologizes to #Person1# for the mistakes in goods. #Person1# will exchange all merchandise that falls short of their sample. Mr. Wilson promises that such things will never happen again in future delivery.
324,#Person1# asks #Person2# who saw the robbery some questions. #Person2# agrees to come to the station for more questioning.,I was in the bank at the time.,The robbery happened at the bank.,#Person2# saw the robbery and saw the guy come in with a gun. #Person2# asks #Person1# to come to the station for more questioning.,#Person2# tells #Person1# about the robbery and the gun he saw. #Person1# asks #Person2# to come to the station for more questioning.
325,#Person1# asks #Person2# who saw a robbery some questions and #Person2# is willing to go to the station for more questioning.,The robber came in with a gun.,The robbery happened at the bank.,#Person2# saw the robbery and saw the guy come in with a gun. #Person2# asks #Person1# to come to the station for more questioning.,#Person2# tells #Person1# about the robbery and the gun he saw. #Person1# asks #Person2# to come to the station for more questioning.
326,#Person2# tells #Person1# #Person2# witnessed the robbery and agrees to take more questions in the station.,The robbery happened at the bank.,The robbery happened at the bank.,#Person2# saw the robbery and saw the guy come in with a gun. #Person2# asks #Person1# to come to the station for more questioning.,#Person2# tells #Person1# about the robbery and the gun he saw. #Person1# asks #Person2# to come to the station for more questioning.
327,#Person1# and #Person2#'s parents are out on a date and will go out for dinner regularly.,Dad and mom are going to dinner tonight.,Go to the pizza place.,#Person1# and #Person2# are starving tonight. #Person2# tells #Person1# they're on their own tonight and they're going to dinner. #Person1# thinks it's going to be a regular thing.,#Person1# is starving and wants to order pizza. #Person2# tells #Person1# dad and mom are going to dinner on a date.
328,The parents of #Person1# and #Person2# are out on a date.,"You know, we're going to a place that's a regular thing.",Go to the pizza place.,#Person1# and #Person2# are starving tonight. #Person2# tells #Person1# they're on their own tonight and they're going to dinner. #Person1# thinks it's going to be a regular thing.,#Person1# is starving and wants to order pizza. #Person2# tells #Person1# dad and mom are going to dinner on a date.
329,#Person1# and #Person2#'s parent are out on a date to revive their old tradition.,Dad and mom are going to dinner tonight.,Go to the pizza place.,#Person1# and #Person2# are starving tonight. #Person2# tells #Person1# they're on their own tonight and they're going to dinner. #Person1# thinks it's going to be a regular thing.,#Person1# is starving and wants to order pizza. #Person2# tells #Person1# dad and mom are going to dinner on a date.
330,#Person1# has decided to go on a diet in the new year. Carol reasonably doubts it.,Carol wants to lose weight and lose a few pounds.,"Carol, you're going to be a new man in one year's time.",Carol tells #Person1# she's going on a diet and Carol tells her she's going to stick to it. Carol tells Carol she's going to be a new man in one year's time.,#Person1# tells Carol about #Person1#'s New Year's resolution. #Person1# will go on a diet and will stick to it. Carol will wait and see.
331,#Person1#'s decided to go on a diet for New Year's resolution. Carol doesn't believe #Person1# will stick to it.,The new year's resolution is to eat less junk food and less soda.,"Carol, you're going to be a new man in one year's time.",Carol tells #Person1# she's going on a diet and Carol tells her she's going to stick to it. Carol tells Carol she's going to be a new man in one year's time.,#Person1# tells Carol about #Person1#'s New Year's resolution. #Person1# will go on a diet and will stick to it. Carol will wait and see.
332,#Person1# has decided to go on a diet in the new year. Carol doesn't believe #Person1# will stick to it,#Person1#: I'm going to go on a diet. #Person2: I'm going to stick to it. #Person1#: I've heard this one before.,"Carol, you're going to be a new man in one year's time.",Carol tells #Person1# she's going on a diet and Carol tells her she's going to stick to it. Carol tells Carol she's going to be a new man in one year's time.,#Person1# tells Carol about #Person1#'s New Year's resolution. #Person1# will go on a diet and will stick to it. Carol will wait and see.
333,Karen Huang tried to register for Comp Lit 287 but failed because it's full. So Karen comes to the department office. #Person1# finds Karen is a Comp Lit major and the university has saved extra places for them. #Person1# gives Karen a special code and tells Karan how to use it to get into the class.,"#Person1#: I'm sorry, but this class is already full. #Person2#: Oh, no. I'm a comp. literature major. #Person2#: I'm a comparative literature major. #Person1#: Alright. And I'm a new student here. #Person2#: Okay. So I'm a new student here. #Person1#: Alright. #Person2#: Okay. I'm a new student here. #Person1#: Alright. And I'm a comp. literature major. #Person2#: Alright. And I'm a comparative literature major. #Person1#: Alright. And I'm a Comp. Literature major. #Person2#: Alright. And I'm a Comp. Literature major. #",Register for Comp Lit 287.,Karen Huang wants to register for Comp Lit 287 because the class is already full and the computer won't let her register. #Person2# tells Karen Huang to call the touch-tone registration system again and tells her to get in with the class.,Karen Huang wants to register for Comp Lit 287. #Person1# tells her the class is already full and she needs to register by phone. #Person1# gives her a special code and tells her to follow the directions on the sheet.
334,"Karen Huang couldn't register for Comp Lit 287 so Karen comes to talk to #Person1# for a solution. #Person1# says it is full and will put Karen on the waiting list. But after #Person1# knows Karen majors in comparative literature, #Person1# gives her a special code to register for the class, as they've saved extra places for them.",Register for the class you're looking for.,Register for Comp Lit 287.,Karen Huang wants to register for Comp Lit 287 because the class is already full and the computer won't let her register. #Person2# tells Karen Huang to call the touch-tone registration system again and tells her to get in with the class.,Karen Huang wants to register for Comp Lit 287. #Person1# tells her the class is already full and she needs to register by phone. #Person1# gives her a special code and tells her to follow the directions on the sheet.
335,Karen Huang wants to register for a class. #Person1# says it's full and will put Karen on the waiting list. But then #Person1# gives Karen a special code to register the class after #Person1# knows Karen is a Comparative Literature major.,"#Person1: I'm sorry, but the class is already full. #Person2: I'm a new student here. #Person1: I'm a comparative literature major. #Person2: Alright, I'm registering for the class. #Person1: Alright, I'm a comparative literature major. #Person2: Alright, I'm registering for class 287. #Person2: Alright, I'm a comparative literature major. #Person1: Alright, I'm registering for class 287. #Person2: Alright, I'm registering for class 287. #Person1: Alright, I'm registering for class 287. #Person2: Alright, I'm registering for class 287. #Person1: Alright, I'm",Register for Comp Lit 287.,Karen Huang wants to register for Comp Lit 287 because the class is already full and the computer won't let her register. #Person2# tells Karen Huang to call the touch-tone registration system again and tells her to get in with the class.,Karen Huang wants to register for Comp Lit 287. #Person1# tells her the class is already full and she needs to register by phone. #Person1# gives her a special code and tells her to follow the directions on the sheet.
336,#Person2# voluntarily shares an umbrella with #Person1# who doesn't bring the umbrella when it's rainy.,The rain is heavy.,The rain is heavy.,#Person1# and #Person2# are going to the Garden Hotel. #Person1# will share the umbrella with #Person2#.,#Person1# forgot the umbrella and #Person2# will share it with #Person1#.
337,#Person1# forgot to take an umbrella while it's raining. #Person2# shares an umbrella with #Person1#.,The rain is coming.,The rain is heavy.,#Person1# and #Person2# are going to the Garden Hotel. #Person1# will share the umbrella with #Person2#.,#Person1# forgot the umbrella and #Person2# will share it with #Person1#.
338,#Person2# shares an umbrella with #Person1# when it's rainy.,"The rain is a little heavy, but it's a good idea.",The rain is heavy.,#Person1# and #Person2# are going to the Garden Hotel. #Person1# will share the umbrella with #Person2#.,#Person1# forgot the umbrella and #Person2# will share it with #Person1#.
339,Jack gives Daisy a ride in his new car. Daisy praises it.,Jack's new car is the fastest thing he's ever owned.,Jack's new car is a new one.,Jack got rid of the clunker and got a ride from Daisy. Jack thinks the car can haul and is the fastest thing he's ever owned. Daisy thinks it's a great choice.,Jack got rid of the clunker and gives Daisy a ride. Daisy thinks the car is the fastest thing he's ever owned and Jack feels happy.
340,Jack bought a new car and invites Daisy to hop in and take a ride. Daisy thinks it's a good feeling.,Jack's new car is a bargain.,Jack's new car is a new one.,Jack got rid of the clunker and got a ride from Daisy. Jack thinks the car can haul and is the fastest thing he's ever owned. Daisy thinks it's a great choice.,Jack got rid of the clunker and gives Daisy a ride. Daisy thinks the car is the fastest thing he's ever owned and Jack feels happy.
341,Jack takes Daisy for a ride to experience his new car. Daisy thinks he makes a perfect choice.,Jack's car is a new one.,Jack's new car is a new one.,Jack got rid of the clunker and got a ride from Daisy. Jack thinks the car can haul and is the fastest thing he's ever owned. Daisy thinks it's a great choice.,Jack got rid of the clunker and gives Daisy a ride. Daisy thinks the car is the fastest thing he's ever owned and Jack feels happy.
342,#Person1# asks #Person2# the exact time when the fire broke out. #Person2# says it was about 10 o'clock.,The fire started.,The fire broke out at 10 o'clock.,#Person2# tells #Person1# the exact time when the big fire broke out. #Person2# remembers it was about 10 o'clock when #Person2# was about to go to bed.,#Person1# asks #Person2# the exact time when the big fire broke out. #Person2# remembers the time.
343,#Person1# asks the exact time when the big fire broke out. #Person2# remembers that it was about 10 o'clock.,The time the big fire broke out was about 10 o'clock.,The fire broke out at 10 o'clock.,#Person2# tells #Person1# the exact time when the big fire broke out. #Person2# remembers it was about 10 o'clock when #Person2# was about to go to bed.,#Person1# asks #Person2# the exact time when the big fire broke out. #Person2# remembers the time.
344,#Person1# asks #Person2# the exact time when the fire broke out. #Person2# says it was about 10 o'clock.,The fire broke out at about 10 a.m.,The fire broke out at 10 o'clock.,#Person2# tells #Person1# the exact time when the big fire broke out. #Person2# remembers it was about 10 o'clock when #Person2# was about to go to bed.,#Person1# asks #Person2# the exact time when the big fire broke out. #Person2# remembers the time.
345,#Person2# doesn't have enough cash to pay 905 yuan and asks to cut the service charge. #Person1# refuses. So #Person2# pays by her husband's credit card because it can be accepted.,The receipt is for the 900 yuan.,The receipt is for the service charge.,#Person2# wants to pay for the service charge of 905 yuan in total. #Person1# asks #Person2# to let it go for 900 yuan. #Person2# agrees.,#Person2# wants to pay now. #Person1# shows her to the cashier's and tells her the service charge. #Person2# accepts the credit card and the receipt.
346,"#Person1# requires 905 yuan in total, but #Person2# only has 900 in cash and asks for a release. #Person1# refuses, so #Person2# pays by her husband's credit card because it can be accepted.",The cashier's receipt is a receipt of 900 yuan.,The receipt is for the service charge.,#Person2# wants to pay for the service charge of 905 yuan in total. #Person1# asks #Person2# to let it go for 900 yuan. #Person2# agrees.,#Person2# wants to pay now. #Person1# shows her to the cashier's and tells her the service charge. #Person2# accepts the credit card and the receipt.
347,#Person2# is asked to pay 905 yuan but she just has 900 in cash and asks for a release from #Person1#. #Person1# refuses. So #Person2# pays by her husband's credit card because it can be accepted.,The receipt is a receipt.,The receipt is for the service charge.,#Person2# wants to pay for the service charge of 905 yuan in total. #Person1# asks #Person2# to let it go for 900 yuan. #Person2# agrees.,#Person2# wants to pay now. #Person1# shows her to the cashier's and tells her the service charge. #Person2# accepts the credit card and the receipt.
348,#Person1# describes the contents of the regular car wash package. #Person2# will take that.,#Person1#: I want to get my car washed.,#Person1#: I want to get my car washed.,"#Person2# wants to get the car washed. #Person1# tells #Person2# the exterior form top to bottom, windows, interior, vacuum cleaner, and vacuum cleaner.","#Person2# wants to get #Person2#'s car washed. #Person1# tells #Person2# they will wash the exterior form top to bottom, wash the windows inside and out, and throw away all of the trash that #Person2# can find."
349,#Person1# introduces the content of regular car wash package and #Person2# accepts.,Ask the person to give you a quote.,#Person1#: I want to get my car washed.,"#Person2# wants to get the car washed. #Person1# tells #Person2# the exterior form top to bottom, windows, interior, vacuum cleaner, and vacuum cleaner.","#Person2# wants to get #Person2#'s car washed. #Person1# tells #Person2# they will wash the exterior form top to bottom, wash the windows inside and out, and throw away all of the trash that #Person2# can find."
350,#Person1# introduces the services included in regular car wash package and #Person2# will take it.,We will wash your car top to bottom. We will wash the windows. We will wash the interior.,#Person1#: I want to get my car washed.,"#Person2# wants to get the car washed. #Person1# tells #Person2# the exterior form top to bottom, windows, interior, vacuum cleaner, and vacuum cleaner.","#Person2# wants to get #Person2#'s car washed. #Person1# tells #Person2# they will wash the exterior form top to bottom, wash the windows inside and out, and throw away all of the trash that #Person2# can find."
351,"Harry and his wife may go abroad during the holiday, but Harry's wife worries too much, so they may not go anywhere.","We're going to go to the airport, but we're not sure.",Harry and his wife are going to Egypt this year.,Harry and his wife are going to go abroad. Harry tells #Person1# they may travel by sea or by air. Harry's wife always worries too much about the house. Harry's wife worries too much about the house. Harry's wife worries too much about the house.,Harry and his wife are going to Egypt this year. Harry suggests going by sea but his wife worries too much. Harry agrees.
352,"Harry and his wife may go abroad during the holidays. However, they might not go anywhere because his wife always worries too much.",Then you'll have to decide whether you want to go abroad or by sea.,Harry and his wife are going to Egypt this year.,Harry and his wife are going to go abroad. Harry tells #Person1# they may travel by sea or by air. Harry's wife always worries too much about the house. Harry's wife worries too much about the house. Harry's wife worries too much about the house.,Harry and his wife are going to Egypt this year. Harry suggests going by sea but his wife worries too much. Harry agrees.
353,"Harry is not sure about the holiday plan of going abroad to spend the holiday, because his wife worries about things after they leave.",Harry and his wife are going to Egypt.,Harry and his wife are going to Egypt this year.,Harry and his wife are going to go abroad. Harry tells #Person1# they may travel by sea or by air. Harry's wife always worries too much about the house. Harry's wife worries too much about the house. Harry's wife worries too much about the house.,Harry and his wife are going to Egypt this year. Harry suggests going by sea but his wife worries too much. Harry agrees.
354,#Person1# is a new member who wants to use the machines. Johnson teaches #Person1# to get a card to keep track of the progress and record the suitable weight for each machine. #Person1# stops training as Johnson suggests and will go through the rest of the machines next time.,Get started.,Get a membership card. Get a training card.,Johnson tells #Person1# how to get started using the machines. Johnson tells #Person1# the machines are listed on the card and the training card. Johnson will go through the machines next time. Johnson will show #Person1# how to use them.,Johnson wants to get started using the machines. #Person2# tells Johnson how to get started using the machines and tells him to go through the machines one by one. Johnson is exhausted and wants to start using the machines. #Person2# tells Johnson to know his limits.
355,Johnson is teaching #Person1# how to use the training machines. He introduces a training card that allows #Person1# to keep track of the weight used on each machine. #Person1# is exhausted when there are still 7 machines left. Johnson suggests #Person1# stop to train and go through the rest of the machines next time.,Johnson will be going through the machines.,Get a membership card. Get a training card.,Johnson tells #Person1# how to get started using the machines. Johnson tells #Person1# the machines are listed on the card and the training card. Johnson will go through the machines next time. Johnson will show #Person1# how to use them.,Johnson wants to get started using the machines. #Person2# tells Johnson how to get started using the machines and tells him to go through the machines one by one. Johnson is exhausted and wants to start using the machines. #Person2# tells Johnson to know his limits.
356,Johnson shows #Person1# the correct way to use weights machine and tells #Person1# using a card to keep track of exercise intensity. #Person1# stops training as Johnson suggests and will go through the rest of the machines next time.,The first thing you need to do is warm up properly. You must warm up properly to use the machines.,Get a membership card. Get a training card.,Johnson tells #Person1# how to get started using the machines. Johnson tells #Person1# the machines are listed on the card and the training card. Johnson will go through the machines next time. Johnson will show #Person1# how to use them.,Johnson wants to get started using the machines. #Person2# tells Johnson how to get started using the machines and tells him to go through the machines one by one. Johnson is exhausted and wants to start using the machines. #Person2# tells Johnson to know his limits.
357,#Person1# and #Person2# are both unemployed. #Person2# suggests applying for the electrician program and #Person1# agrees.,The person is looking for a job.,Have a good day!,#Person1# is out of a job and #Person2# wants to keep a roof over #Person1#'s head. #Person1# wants to be interviewed and #Person2# wants to get the opportunity to be interviewed. #Person1# suggests #Person2# apply for electrician programs.,#Person1# and #Person2# are both out of a job. #Person1# wants to be interviewed and #Person2# suggests the electrician program.
358,Both #Person1# and #Person2# lost their jobs. They would like to apply for the electrician program.,#Person1: I am out of work. #Person2: I am not. #Person1: I haven't been on any of those yet.,Have a good day!,#Person1# is out of a job and #Person2# wants to keep a roof over #Person1#'s head. #Person1# wants to be interviewed and #Person2# wants to get the opportunity to be interviewed. #Person1# suggests #Person2# apply for electrician programs.,#Person1# and #Person2# are both out of a job. #Person1# wants to be interviewed and #Person2# suggests the electrician program.
359,#Person1# and #Person2# plan to apply for the electrician program after they were laid off.,#Person1#: I'm out of a job. #Person2#: I'm not.,Have a good day!,#Person1# is out of a job and #Person2# wants to keep a roof over #Person1#'s head. #Person1# wants to be interviewed and #Person2# wants to get the opportunity to be interviewed. #Person1# suggests #Person2# apply for electrician programs.,#Person1# and #Person2# are both out of a job. #Person1# wants to be interviewed and #Person2# suggests the electrician program.
360,#Person1# asks something about #Person2#'s care with puppies and reminds #Person2# of the vet appointment.,The dogs have been vaccinated and are in the care of their veterinarian.,The puppies have a vet appointment this Saturday.,#Person2# feeds the puppies and gives them a bath. #Person1# will give them a bath later on today and will give them a bath. They need to be there at eleven in the morning.,#Person2# fed the puppies and will give them a bath. #Person1# reminds #Person2# that the puppies have a vet appointment this Saturday.
361,#Person1# and #Person2# are talking about taking care of their puppies and the time of vet appointment.,The puppies are ready to go to the vet.,The puppies have a vet appointment this Saturday.,#Person2# feeds the puppies and gives them a bath. #Person1# will give them a bath later on today and will give them a bath. They need to be there at eleven in the morning.,#Person2# fed the puppies and will give them a bath. #Person1# reminds #Person2# that the puppies have a vet appointment this Saturday.
362,#Person1# inquires about #Person2#'s care with the puppies and reminds #Person2# of the vet appointment.,The dogs are very happy.,The puppies have a vet appointment this Saturday.,#Person2# feeds the puppies and gives them a bath. #Person1# will give them a bath later on today and will give them a bath. They need to be there at eleven in the morning.,#Person2# fed the puppies and will give them a bath. #Person1# reminds #Person2# that the puppies have a vet appointment this Saturday.
363,#Person1# wants to borrow $200 from Ayden to pay the rent. Ayden is short on cash but still lends $20 to #Person1#. They decide to have dinner at #Person1#'s place.,"Ayden: Hey Ayden, how can I help you?",Ayden will lend you $ 200 to help you through the weekend.,#Person1# wants to help Ayden out because he owes his landlady $ 200 and owes her $ 200. Ayden agrees to lend him some cash until he gets paid. Ayden will pay back on Monday.,#Person1# is flat broke and wants to borrow some cash from Ayden. Ayden agrees to help #Person1# out. #Person1# will pay Ayden back on Monday. #Person2# will come over and have dinner at Ayden's place tonight.
364,#Person1# borrows $ 20 from Ayden because #Person1# owes the landlady $ 200. Then #Person1# invites Ayden to have dinner at #Person1#'s place.,Ayden and Ayden are going to have dinner together at Ayden's place at 6 pm tonight.,Ayden will lend you $ 200 to help you through the weekend.,#Person1# wants to help Ayden out because he owes his landlady $ 200 and owes her $ 200. Ayden agrees to lend him some cash until he gets paid. Ayden will pay back on Monday.,#Person1# is flat broke and wants to borrow some cash from Ayden. Ayden agrees to help #Person1# out. #Person1# will pay Ayden back on Monday. #Person2# will come over and have dinner at Ayden's place tonight.
365,#Person1# wants to borrow $200 from Ayden to pay for the house rent but Ayden lends $20 because of the lack of money. They decide to have dinner at #Person1#'s place.,Ayden and Ayden are going to meet tonight at Ayden's.,Ayden will lend you $ 200 to help you through the weekend.,#Person1# wants to help Ayden out because he owes his landlady $ 200 and owes her $ 200. Ayden agrees to lend him some cash until he gets paid. Ayden will pay back on Monday.,#Person1# is flat broke and wants to borrow some cash from Ayden. Ayden agrees to help #Person1# out. #Person1# will pay Ayden back on Monday. #Person2# will come over and have dinner at Ayden's place tonight.
366,#Person2# had been in the charity organization for 2 months. Social activities had a direct impact on #Person2#'s way of thinking.,I learned a lot from my time in the charity organization.,I had been in the charity organization for 2 months and I learned a lot from that experience.,#Person2# tells #Person1# #Person2# worked in a charity organization for 2 months and learned a lot from that experience. #Person2# thinks it had direct impact on #Person2#'s way of thinking.,#Person2# tells #Person1# #Person2# worked in a charity organization and learned a lot from it. #Person2# thinks it had direct impact on #Person2#'s way of thinking.
367,#Person2# had been in the charity organization for 2 months and the social activities influenced #Person2#'s way of thinking.,"#Person1#: I had been in a charity organization for 2 months and I learned a lot from that experience, including love, sympathy, equality, and so on. #Person2#: In that case, I learned to look at things from an overall perspective.",I had been in the charity organization for 2 months and I learned a lot from that experience.,#Person2# tells #Person1# #Person2# worked in a charity organization for 2 months and learned a lot from that experience. #Person2# thinks it had direct impact on #Person2#'s way of thinking.,#Person2# tells #Person1# #Person2# worked in a charity organization and learned a lot from it. #Person2# thinks it had direct impact on #Person2#'s way of thinking.
368,#Person2# had been in the charity organization for 2 months. Social activities influenced #Person2#'s way of thinking.,"#Person1#: I had been in the charity organization for 2 months and I learned a lot from that experience, including love, sympathy, equality, and so on. #Person1#:",I had been in the charity organization for 2 months and I learned a lot from that experience.,#Person2# tells #Person1# #Person2# worked in a charity organization for 2 months and learned a lot from that experience. #Person2# thinks it had direct impact on #Person2#'s way of thinking.,#Person2# tells #Person1# #Person2# worked in a charity organization and learned a lot from it. #Person2# thinks it had direct impact on #Person2#'s way of thinking.
369,#Person1#'s organization will make a decision in about one week and contact #Person2# via phone or e-mail.,Contact me if you have any questions.,Contact the following:,#Person2# wants to speak to #Person1# about the decision of the organization. #Person1# will call #Person2# to let #Person2# know when the decision can be made.,#Person2# tells #Person1# #Person2#'s organization can make a decision about the company.
370,#Person1# can inform #Person2# by phone or e-mail when the organization makes a decision in about one week.,Contacting you.,Contact the following:,#Person2# wants to speak to #Person1# about the decision of the organization. #Person1# will call #Person2# to let #Person2# know when the decision can be made.,#Person2# tells #Person1# #Person2#'s organization can make a decision about the company.
371,#Person1# can tell #Person2# their organization's decision by phone or e-mail in about one week.,                                                                                                   ,Contact the following:,#Person2# wants to speak to #Person1# about the decision of the organization. #Person1# will call #Person2# to let #Person2# know when the decision can be made.,#Person2# tells #Person1# #Person2#'s organization can make a decision about the company.
372,#Person2# recommends Moutan and Roast Beijing Duck. #Person1# will take that in the hotel.,The restaurant is located next to the river.,You can order some Chinese food at the hotel.,#Person1# recommends Chinese wine to #Person2#. #Person2# recommends Roast Beijing Duck and Roast Beijing Duck.,#Person2# recommends some Chinese wine and #Person1# will have a try of Moutan.
373,#Person2# recommends #Person1# to have Roast Beijing Duck along with Moutan in the hotel. #Person1# will have a try.,I'm looking for a Chinese restaurant.,You can order some Chinese food at the hotel.,#Person1# recommends Chinese wine to #Person2#. #Person2# recommends Roast Beijing Duck and Roast Beijing Duck.,#Person2# recommends some Chinese wine and #Person1# will have a try of Moutan.
374,#Person2# recommends Moutan and Roast Beijing Duck. #Person1# will have a try in the hotel.,#Person2#: I'm not sure what the restaurant is called.,You can order some Chinese food at the hotel.,#Person1# recommends Chinese wine to #Person2#. #Person2# recommends Roast Beijing Duck and Roast Beijing Duck.,#Person2# recommends some Chinese wine and #Person1# will have a try of Moutan.
375,Angela calls Dan to make sure he's coming to the wedding with him next week and also asks him to invite Megan. They'll drive to the wedding together.,Dan's coming to a wedding next week. Dan forgot about his friend's wedding. Dan and Angela are going to drive to the wedding.,Dan and Angela are going to a wedding next week.,Dan calls Angela yesterday and tells Angela his friend is getting married next week. Angela invites Megan to the wedding and will drive together.,Dan calls Angela because Angela's phone was off. Angela tells Dan that his friend is getting married next week and they'll drive together.
376,Angela calls to remind Dan that they are going to the wedding of her friend next week and asks him to invite Megan. The three of them will go together.,"#Person1#: Hi, this is Angela.",Dan and Angela are going to a wedding next week.,Dan calls Angela yesterday and tells Angela his friend is getting married next week. Angela invites Megan to the wedding and will drive together.,Dan calls Angela because Angela's phone was off. Angela tells Dan that his friend is getting married next week and they'll drive together.
377,Angela reminds Dan to come to the wedding next week and asks him to invite Megan as well. They agree to go there together.,Hi Dan. I heard from you yesterday. I'm a little nervous about getting married.,Dan and Angela are going to a wedding next week.,Dan calls Angela yesterday and tells Angela his friend is getting married next week. Angela invites Megan to the wedding and will drive together.,Dan calls Angela because Angela's phone was off. Angela tells Dan that his friend is getting married next week and they'll drive together.
378,"#Person2# has traditional Greek yogurt, which #Person1# thinks rather plain. #Person1# has an Italian tiramisu, which #Person2# thinks delicious. #Person1# goes and gets both of them a fried banana.",#Person1#: I'm going to try some desserts.,The person who is going to try the tiramisu will get two fried bananas.,#Person2# wants to try traditional Greek yogurt first. #Person1# wants to try an Italian tiramisu and a fried banana. #Person2# will try one of those fried bananas. #Person1# will get two fried bananas.,#Person2# wants to try traditional Greek yogurt and #Person1# wants to try Italian tiramisu. #Person2# thinks it's delicious and wants to try fried bananas. #Person1# will get #Person2# one.
379,#Person2# tries Greek yogurt which #Person1# thinks it's rather plain. #Person1# has an Italian tiramisu which #Person2# thinks delicious. They both decide to have fried bananas and #Person1# will bring bananas back.,#Person1: I'm going to try the Greek yogurt. #Person2: I'm going to try the traditional Greek yogurt. #Person1: I'll try the Greek tiramisu. #Person2: I'll try the Greek yogurt. #Person1: I'm going to try the Greek yogurt. #Person2: I'm going to try the Greek yogurt. #Person1: I'll try the Greek tiramisu.,The person who is going to try the tiramisu will get two fried bananas.,#Person2# wants to try traditional Greek yogurt first. #Person1# wants to try an Italian tiramisu and a fried banana. #Person2# will try one of those fried bananas. #Person1# will get two fried bananas.,#Person2# wants to try traditional Greek yogurt and #Person1# wants to try Italian tiramisu. #Person2# thinks it's delicious and wants to try fried bananas. #Person1# will get #Person2# one.
